"","degree","eigenvector","betweenness","closeness","npubs","hindex","hindex5y","i10index","i10index5y","citedby","as_pc_chair","as_pc","as_session_chair","as_panelist","as_keynote_speaker","as_author"
"degree",1,0.86667974696806,0.187816068650251,0.157167054995604,-0.0058196463082851,0.082090716686754,0.0753605391974778,0.0513703440585417,0.106197332041201,-0.00297281850876604,0.0230406636604302,0.0259394181926093,0.0141416488633037,0.000468552347760642,0.0297538284885716,0.205025171491747
"eigenvector",0.86667974696806,1,-0.015972033865847,-0.0322922810465002,0.00680394330043756,0.0195887146820582,6.37037012730835e-05,0.0147014260365758,0.027215616637323,0.0544108907787394,-0.00949878495088057,-0.0389286316302209,-0.023136594793065,-0.00797363268622111,-0.00716854628733329,-0.0408118969901012
"betweenness",0.187816068650251,-0.015972033865847,1,0.251895997586905,-0.0133689969734806,0.0497707636064231,0.0779697009394882,0.113506645639175,0.0965153534793171,-0.0422491927030905,0.057801899289931,0.15678631405912,0.091318439908425,0.0104605794884002,0.038841781078019,0.44397100541694
"closeness",0.157167054995604,-0.0322922810465002,0.251895997586905,1,-0.0776600749422141,0.0296668691057345,0.0134209148636814,-0.00386688052822035,0.0314362864393646,-0.0350584085666715,0.024725937392042,0.0614080078013098,0.0362388949184872,0.00502882170043685,0.0473625284154571,0.214426500092299
"npubs",-0.0058196463082851,0.00680394330043756,-0.0133689969734806,-0.0776600749422141,1,0.71772267702011,0.684293519098384,0.819142866338777,0.781604941412577,0.55115960063604,0.0241389559825032,0.135178754952119,0.0595904043972579,0.0383221304617582,0.0747569069065457,0.00163131723089462
"hindex",0.082090716686754,0.0195887146820582,0.0497707636064231,0.0296668691057345,0.71772267702011,1,0.485687969296291,0.13855717482076,0.610909206692646,0.0438259907063191,0.0502282009396254,0.217696713029656,0.0742143673817195,0.0670195265683109,0.0601771410882935,0.229147631459528
"hindex5y",0.0753605391974778,6.37037012730835e-05,0.0779697009394882,0.0134209148636814,0.684293519098384,0.485687969296291,1,0.199501259425855,0.197760298971772,0.0600352128242095,0.161866415677911,0.261702563735754,0.168985933354818,0.120015632877796,0.13747743745049,0.300685529348984
"i10index",0.0513703440585417,0.0147014260365758,0.113506645639175,-0.00386688052822035,0.819142866338777,0.13855717482076,0.199501259425855,1,0.582419990500683,0.580870804407789,0.0889396054736599,0.182482411927935,0.128670350655248,0.0621283816703012,0.15836589895833,0.155475157252024
"i10index5y",0.106197332041201,0.027215616637323,0.0965153534793171,0.0314362864393646,0.781604941412577,0.610909206692646,0.197760298971772,0.582419990500683,1,0.3748459542098,0.0640060266433327,0.196197726810127,0.102657460703869,0.0779373904627542,0.0756023170419649,0.204427322607838
"citedby",-0.00297281850876604,0.0544108907787394,-0.0422491927030905,-0.0350584085666715,0.55115960063604,0.0438259907063191,0.0600352128242095,0.580870804407789,0.3748459542098,1,0.0113503998568429,-0.0316591782929203,-0.0124682110799512,0.00695045304058703,0.0673951964200215,-0.121329370806954
"as_pc_chair",0.0230406636604302,-0.00949878495088057,0.057801899289931,0.024725937392042,0.0241389559825032,0.0502282009396254,0.161866415677911,0.0889396054736599,0.0640060266433327,0.0113503998568429,1,0.126021055706839,0.331164247780368,0.0965710506033949,0.165902524028061,0.14191216992634
"as_pc",0.0259394181926093,-0.0389286316302209,0.15678631405912,0.0614080078013098,0.135178754952119,0.217696713029656,0.261702563735754,0.182482411927935,0.196197726810127,-0.0316591782929203,0.126021055706839,1,0.423776654597847,0.14394698885587,0.0370250162811992,0.334408311371699
"as_session_chair",0.0141416488633037,-0.023136594793065,0.091318439908425,0.0362388949184872,0.0595904043972579,0.0742143673817195,0.168985933354818,0.128670350655248,0.102657460703869,-0.0124682110799512,0.331164247780368,0.423776654597847,1,0.220822055924339,0.090018009065916,0.230270418969153
"as_panelist",0.000468552347760642,-0.00797363268622111,0.0104605794884002,0.00502882170043685,0.0383221304617582,0.0670195265683109,0.120015632877796,0.0621283816703012,0.0779373904627542,0.00695045304058703,0.0965710506033949,0.14394698885587,0.220822055924339,1,0.123344481101047,0.0516137961045226
"as_keynote_speaker",0.0297538284885716,-0.00716854628733329,0.038841781078019,0.0473625284154571,0.0747569069065457,0.0601771410882935,0.13747743745049,0.15836589895833,0.0756023170419649,0.0673951964200215,0.165902524028061,0.0370250162811992,0.090018009065916,0.123344481101047,1,0.091007103055837
"as_author",0.205025171491747,-0.0408118969901012,0.44397100541694,0.214426500092299,0.00163131723089462,0.229147631459528,0.300685529348984,0.155475157252024,0.204427322607838,-0.121329370806954,0.14191216992634,0.334408311371699,0.230270418969153,0.0516137961045226,0.091007103055837,1
